order_id,customer_id,order_date,category,product_price,quantity,discount_pct,region,payment_method,returned,rating,revenue,profit,month,month_name,quarter
ORD00001,1860,2023-01-01 00:00:00.000000,Sports,1951.31,1,25,East,Debit Card,0,5,1463.48,559.76,1,Jan,1
ORD00002,2294,2023-01-01 01:44:51.178235,Clothing,1659.62,5,25,West,Debit Card,0,5,6223.57,1081.0,1,Jan,1
ORD00003,2130,2023-01-01 03:29:42.356471,Clothing,111.79,3,0,South,COD,0,4,335.37,50.65,1,Jan,1
ORD00004,2095,2023-01-01 05:14:33.534706,Home & Kitchen,2063.42,2,25,East,UPI,0,5,3095.13,765.29,1,Jan,1
ORD00005,2638,2023-01-01 06:59:24.712942,Home & Kitchen,100.0,2,0,South,Credit Card,0,5,200.0,35.19,1,Jan,1
ORD00006,3169,2023-01-01 08:44:15.891178,Books,1174.37,5,0,North,Net Banking,0,3,5871.85,2147.68,1,Jan,1
ORD00007,1466,2023-01-01 10:29:07.069413,Clothing,451.78,3,10,South,COD,0,5,1219.81,464.35,1,Jan,1
ORD00008,2238,2023-01-01 12:13:58.247649,Books,1328.97,1,10,West,UPI,0,3,1196.07,323.66,1,Jan,1
ORD00009,1330,2023-01-01 13:58:49.425885,Sports,454.35,5,15,South,COD,1,2,1930.99,495.04,1,Jan,1
ORD00010,2482,2023-01-01 15:43:40.604120,Books,6295.36,2,10,West,UPI,0,4,11331.65,3226.8,1,Jan,1
ORD00011,3135,2023-01-01 17:28:31.782356,Beauty,556.0,2,25,East,Debit Card,0,5,834.0,172.26,1,Jan,1
ORD00012,3919,2023-01-01 19:13:22.960592,Books,415.53,2,0,East,UPI,0,1,831.06,186.57,1,Jan,1
ORD00013,1130,2023-01-01 20:58:14.138827,Beauty,489.56,5,0,East,Debit Card,0,5,2447.8,428.96,1,Jan,1
ORD00014,2685,2023-01-01 22:43:05.317063,Sports,3401.88,4,25,North,Debit Card,0,4,10205.64,2669.92,1,Jan,1
ORD00015,1769,2023-01-02 00:27:56.495299,Clothing,1516.8,4,0,West,Credit Card,0,5,6067.2,1837.89,1,Jan,1
ORD00016,3391,2023-01-02 02:12:47.673534,Sports,1967.81,4,15,North,UPI,0,5,6690.55,2559.51,1,Jan,1
ORD00017,2515,2023-01-02 03:57:38.851770,Electronics,3751.75,3,15,North,Net Banking,0,5,9566.96,3202.71,1,Jan,1
ORD00018,3853,2023-01-02 05:42:30.030006,Beauty,3643.46,5,10,East,Net Banking,0,5,16395.57,5423.1,1,Jan,1
ORD00019,3433,2023-01-02 07:27:21.208241,Home & Kitchen,2014.54,2,15,West,UPI,0,5,3424.72,777.41,1,Jan,1
ORD00020,2215,2023-01-02 09:12:12.386477,Electronics,330.64,3,0,South,Credit Card,0,3,991.92,369.07,1,Jan,1
ORD00021,1955,2023-01-02 10:57:03.564712,Home & Kitchen,2780.84,4,25,South,Net Banking,0,4,8342.52,3226.38,1,Jan,1
ORD00022,3324,2023-01-02 12:41:54.742948,Beauty,341.81,1,0,West,COD,0,3,341.81,130.94,1,Jan,1
ORD00023,2184,2023-01-02 14:26:45.921184,Electronics,2037.43,3,10,South,Net Banking,0,5,5501.06,878.52,1,Jan,1
ORD00024,1459,2023-01-02 16:11:37.099419,Home & Kitchen,1735.65,3,0,East,Credit Card,0,3,5206.95,1567.75,1,Jan,1
ORD00025,1021,2023-01-02 17:56:28.277655,Home & Kitchen,2133.75,5,10,East,Debit Card,0,3,9601.88,2984.32,1,Jan,1
ORD00026,3300,2023-01-02 19:41:19.455891,Sports,1141.13,3,15,North,Debit Card,0,5,2909.88,651.13,1,Jan,1
ORD00027,1747,2023-01-02 21:26:10.634126,Clothing,1527.18,5,25,East,Debit Card,0,5,5726.92,2279.9,1,Jan,1
ORD00028,3904,2023-01-02 23:11:01.812362,Electronics,4596.66,1,15,South,Credit Card,0,5,3907.16,870.5,1,Jan,1
ORD00029,1474,2023-01-03 00:55:52.990598,Electronics,159.86,2,10,North,Debit Card,0,3,287.75,58.75,1,Jan,1
ORD00030,2082,2023-01-03 02:40:44.168833,Home & Kitchen,554.09,2,25,West,Debit Card,0,4,831.14,225.27,1,Jan,1
ORD00031,3558,2023-01-03 04:25:35.347069,Books,1417.64,4,10,West,Credit Card,0,3,5103.5,1177.82,1,Jan,1
ORD00032,3047,2023-01-03 06:10:26.525305,Beauty,4988.61,4,10,North,COD,0,1,17959.0,6842.51,1,Jan,1
